beta1,likelihood,nll
5.45,1.11312e-11,25.2213
5.5,7.66611e-12,25.5942
5.55,5.26721e-12,25.9695
5.6,3.6106e-12,26.3471
5.65,2.46939e-12,26.727
5.7,1.68514e-12,27.1092
5.75,1.14745e-12,27.4935
5.8,7.79664e-13,27.8799
5.85,5.28658e-13,28.2684
5.9,3.57731e-13,28.659
5.95,2.41586e-13,29.0516
6,1.62833e-13,29.4461
6.05,1.09543e-13,29.8425
6.1,7.35572e-14,30.2407
6.15,4.93035e-14,30.6408
6.2,3.29886e-14,31.0426
6.25,2.20345e-14,31.4462
6.3,1.46932e-14,31.8514
6.35,9.78183e-15,32.2583
6.4,6.50183e-15,32.6667
6.45,4.315e-15,33.0767
6.5,2.85941e-15,33.4882
6.55,1.89208e-15,33.9011
6.6,1.25022e-15,34.3155
6.65,8.24977e-16,34.7312
6.7,5.43648e-16,35.1482
6.75,3.57795e-16,35.5666
6.8,2.35185e-16,35.9862
6.85,1.54404e-16,36.407
6.9,1.01251e-16,36.8289
6.95,6.63209e-17,37.252
7,4.33936e-17,37.6762
7.05,2.83624e-17,38.1015
7.1,1.85189e-17,38.5277
7.15,1.20799e-17,38.955
7.2,7.8722e-18,39.3832
7.25,5.12545e-18,39.8123
7.3,3.33414e-18,40.2423
7.35,2.16704e-18,40.6732
7.4,1.40733e-18,41.1048
7.45,9.13231e-19,41.5373
7.5,5.92157e-19,41.9705
7.55,3.83686e-19,42.4045
7.6,2.48434e-19,42.8391
7.65,1.60751e-19,43.2744
7.7,1.03948e-19,43.7104
7.75,6.71751e-20,44.147
7.8,4.33852e-20,44.5842
7.85,2.80044e-20,45.0219
7.9,1.80665e-20,45.4602
7.95,1.16491e-20,45.8991
8,7.50742e-21,46.3384
8.05,4.83593e-21,46.7782
8.1,3.11364e-21,47.2185
8.15,2.00385e-21,47.6592
8.2,1.28907e-21,48.1004
8.25,8.28921e-22,48.5419
8.3,5.3282e-22,48.9839
8.35,3.42363e-22,49.4262
8.4,2.19906e-22,49.8688
8.45,1.41202e-22,50.3118
8.5,9.06369e-23,50.7552
8.55,5.81612e-23,51.1988
8.6,3.73106e-23,51.6428
8.65,2.39281e-23,52.087
8.7,1.53415e-23,52.5315
8.75,9.83364e-24,52.9762
8.8,6.30164e-24,53.4212
8.85,4.0373e-24,53.8665
8.9,2.58601e-24,54.3119
8.95,1.65606e-24,54.7576
9,1.06031e-24,55.2035
9.05,6.78746e-25,55.6496
9.1,4.34409e-25,56.0958
9.15,2.7798e-25,56.5422
9.2,1.7785e-25,56.9889
9.25,1.13769e-25,57.4356
9.3,7.27662e-26,57.8825
9.35,4.65339e-26,58.3296
9.4,2.97543e-26,58.7768
9.45,1.90226e-26,59.2242
9.5,1.21601e-26,59.6716
9.55,7.77231e-27,60.1192
9.6,4.96722e-27,60.5669
9.65,3.17416e-27,61.0148
9.7,2.02815e-27,61.4627
9.75,1.29576e-27,61.9107
9.8,8.27773e-28,62.3588
9.85,5.28759e-28,62.807
9.9,3.37727e-28,63.2553
9.95,2.15694e-28,63.7037
